file,line,method,path,function,has_permission,permission_hints,has_audit,audit_hints,has_rollback_hint,rollback_hints,has_confirm_hint,confirm_hints,risk,issue
backend/app/api/routers/account_scanner.py,15,POST,/scan-account,api_scan,True,"admin, require_tab, staff=depends",False,,True,status,False,,P1,operational mutation (sync) with permission hint but no obvious audit hint
backend/app/api/routers/account_scanner.py,45,POST,/scan-matrix,api_matrix,True,"admin, require_tab, staff=depends",False,,True,status,False,,P1,operational mutation (sync) with permission hint but no obvious audit hint
backend/app/api/routers/activities.py,135,POST,,create_activity,True,"admin, require_tab, staff=depends",True,record_admin_action,True,status,False,,P2,mutation appears guarded with audit/rollback hints; dynamic smoke still required
backend/app/api/routers/activities.py,187,PATCH,/{activity_id},update_activity,True,"admin, require_tab, staff=depends",True,record_admin_action,True,status,False,,P2,mutation appears guarded with audit/rollback hints; dynamic smoke still required
backend/app/api/routers/activities.py,212,POST,/{activity_id}/{action},activity_action,True,"admin, require_tab, staff=depends",True,record_admin_action,True,status,False,,P2,mutation appears guarded with audit/rollback hints; dynamic smoke still required
backend/app/api/routers/activities.py,423,POST,/{activity_id}/attribute-user,attribute_user,True,"admin, require_tab, staff=depends",True,record_admin_action,True,status,False,,P2,mutation appears guarded with audit/rollback hints; dynamic smoke still required
backend/app/api/routers/activities.py,468,POST,/{qr_token}/track,track_public_event,False,,False,,True,status,False,,P2,public tracking/event endpoint; needs rate-limit/data-minimization audit separately
backend/app/api/routers/admin.py,571,POST,/api/admin/social-accounts/{account_id}/verify,admin_verify_social,True,admin,False,,False,,True,comment,P1,mutation has permission hint but no obvious audit hint in router/function body
backend/app/api/routers/admin.py,580,POST,/api/admin/social-accounts/{account_id}/reject,admin_reject_social,True,admin,False,,True,status,True,reason,P0,high-impact mutation (delete); missing/unclear: audit
backend/app/api/routers/admin.py,617,POST,/api/admin/users/upsert,admin_upsert_user_account,True,admin,False,,True,status,False,,P1,operational mutation (sync) with permission hint but no obvious audit hint
backend/app/api/routers/admin.py,629,POST,/api/admin/users/{uid}/approve,admin_approve_user,True,admin,False,,True,status,False,,P1,operational mutation (approve) with permission hint but no obvious audit hint
backend/app/api/routers/admin.py,640,POST,/api/admin/users/{uid}/reject,admin_reject_user,True,admin,False,,True,status,False,,P1,operational mutation (reject) with permission hint but no obvious audit hint
backend/app/api/routers/admin.py,651,POST,/api/admin/users/{uid}/block,admin_block_user,True,admin,False,,True,status,True,reason,P0,high-impact mutation (block); missing/unclear: audit
backend/app/api/routers/admin.py,662,POST,/api/admin/users/{uid}/unblock,admin_unblock_user,True,admin,False,,True,status,True,reason,P0,high-impact mutation (block); missing/unclear: audit
backend/app/api/routers/admin.py,673,DELETE,/api/admin/users/{uid},admin_delete_user,True,admin,False,,True,status,False,,P0,"high-impact mutation (delete); missing/unclear: audit, confirm/reason"
backend/app/api/routers/admin.py,873,POST,/api/admin/creator-public/shop-heroes,admin_upsert_creator_shop_hero,True,admin,False,,True,status,False,,P1,operational mutation (sync) with permission hint but no obvious audit hint
backend/app/api/routers/admin.py,885,DELETE,/api/admin/creator-public/shop-heroes/{hero_id},admin_delete_creator_shop_hero,True,admin,False,,True,status,False,,P0,"high-impact mutation (delete); missing/unclear: audit, confirm/reason"
backend/app/api/routers/admin.py,961,DELETE,/api/admin/submissions/{submission_id},delete_submission,True,admin,False,,True,"rollback, status",True,reason,P0,high-impact mutation (delete); missing/unclear: audit
backend/app/api/routers/admin.py,997,POST,/api/admin/submissions/manual,manual_add_submission,True,admin,False,,True,status,True,comment,P1,mutation has permission hint but no obvious audit hint in router/function body
backend/app/api/routers/admin.py,1031,POST,/api/verify/register,register_verification,True,admin,False,,True,status,False,,P1,mutation has permission hint but no obvious audit hint in router/function body
backend/app/api/routers/admin.py,1065,POST,/api/admin/verifications/{ver_id}/approve,approve_verification,True,admin,False,,True,status,False,,P1,operational mutation (approve) with permission hint but no obvious audit hint
backend/app/api/routers/admin.py,1080,POST,/api/admin/verifications/{ver_id}/reject,reject_verification,True,admin,False,,True,status,False,,P1,operational mutation (reject) with permission hint but no obvious audit hint
backend/app/api/routers/admin.py,1091,DELETE,/api/admin/verifications/{ver_id},delete_verification,True,admin,False,,True,status,False,,P0,"high-impact mutation (delete); missing/unclear: audit, confirm/reason"
